Plant_ID,Nameplate,Technology,Latitude,Longitude,State,Year
7030,174.6,Coal,31.091925,-96.69503,TX,2001
7097,546.0,Coal,29.309721999999997,-98.3203,TX,2001
7210,417.3,Coal,33.3644,-81.03,SC,2001
7213,424.0,Coal,36.869,-78.704,VA,2001
7242,326.2,Coal,27.7286,-81.9897,FL,2001
7286,50.0,Coal,39.36756629999999,-81.5179618,OH,2001
7343,640.0,Coal,42.3006,-96.3617,IA,2001
7363,614.6,Coal,30.2447799,-93.2885455,LA,2001
7419,113.2,Coal,39.677373200000005,-119.9945181,NV,2001
7504,80.0,Coal,44.2856,-105.3833,WY,2001
7537,80.0,Coal,39.2633,-79.3308,WV,2001
7549,11.0,Coal,43.04600000000001,-88.0281,WI,2001
7652,70.0,Coal,33.2906,-81.6831,SC,2001
7672,6.8,Coal,48.5710958,-97.1778485,ND,2001
7674,13.3,Coal,46.9747222,-96.88,ND,2001
7678,37.0,Coal,35.54,-100.95999990000001,TX,2001
7737,99.2,Coal,32.9,-79.9667,SC,2001
7790,400.0,Coal,40.0864,-109.2844,UT,2001
7902,721.0,Coal,32.4607,-94.4852,TX,2001
8023,512.0,Coal,43.4864,-89.4203,WI,2001
8042,1080.0,Coal,36.2811,-80.0603,NC,2001
8066,577.9,Coal,41.7378,-108.7875,WY,2001
8069,498.0,Coal,39.3792,-111.0781,UT,2001
8102,1300.0,Coal,38.9347,-82.1158,OH,2001
8219,207.0,Coal,38.633451,-104.70577,CO,2001
8222,450.0,Coal,47.221447,-101.815722,ND,2001
8223,424.8,Coal,34.3186,-109.1639,AZ,2001
8224,254.2,Coal,40.881316999999996,-117.151605,NV,2001
8226,565.0,Coal,40.5383,-79.7906,PA,2001
10002,108.0,Coal,35.765767,-117.38358400000001,CA,2001
10003,7.5,Coal,39.7606,-105.215,CO,2001
10022,2.0,Coal,40.797821,-85.8205411,IN,2001
10025,6.3,Coal,43.1989,-77.6319,NY,2001
10039,2.0,Coal,41.524315,-90.43659,IL,2001
10043,242.0,Coal,39.7928,-75.406667,NJ,2001
10071,67.5,Coal,36.8702,-76.3529,VA,2001
10075,84.0,Coal,47.5314,-90.9114,MN,2001
10111,28.9,Coal,42.660323999999996,-83.29830799999999,MI,2001
10113,88.4,Coal,40.7903,-76.1983,PA,2001
10114,7.5,Coal,41.057676799999996,-81.4768212,OH,2001
10143,131.1,Coal,40.55,-78.8,PA,2001
10148,20.0,Coal,46.7644,-89.5669,MI,2001
10149,7.5,Coal,45.062836,-83.42333599999999,MI,2001
10202,9.3,Coal,30.681822999999998,-81.45541300000001,FL,2001
10207,7.5,Coal,39.4290789,-91.0333578,MO,2001
10223,8.5,Coal,42.665941,-93.902606,IA,2001
10234,17.0,Coal,44.43,-89.78,WI,2001
10244,10.6,Coal,39.324611,-82.974039,OH,2001
10252,7.0,Coal,36.5489,-82.5667,TN,2001
10302,2.0,Coal,40.533299,-78.384125,PA,2001
10320,0.3,Coal,35.541057200000004,-82.6452139,NC,2001
10321,5.0,Coal,36.1835719,-83.25374509999999,TN,2001
10328,12.5,Coal,42.7178,-84.4836,MI,2001
10333,125.0,Coal,28.5819,-82.4311,FL,2001
10360,1.5,Coal,44.4936,-88.0303,WI,2001
10362,25.0,Coal,35.7322,-95.2939,OK,2001
10377,67.5,Coal,37.2939,-77.2697,VA,2001
10378,67.5,Coal,33.944384,-78.011824,NC,2001
10379,67.5,Coal,36.435,-78.9619,NC,2001
10380,34.7,Coal,34.647155,-78.64151,NC,2001
