Nameplate,Technology,Latitude,Longitude,State,Plant_ID
26.7,Hydroelectric,38.449291,-120.492645,CA,287
4.2,Hydroelectric,36.163076,-118.707104,CA,289
4.2,Hydroelectric,36.163076,-118.707104,CA,289
8.5,Hydroelectric,40.459111,-121.86708,CA,290
13.6,Hydroelectric,38.420898,-120.549572,CA,291
13.6,Hydroelectric,38.889862,-121.098525,CA,292
2.8,Hydroelectric,38.889862,-121.098525,CA,292
3.2,Hydroelectric,37.15105,-119.504724,CA,293
3.2,Hydroelectric,37.15105,-119.504724,CA,293
3.2,Hydroelectric,37.15105,-119.504724,CA,293
3.2,Hydroelectric,37.15105,-119.504724,CA,293
10,Hydroelectric,41.978914,-122.335317,CA,294
10,Hydroelectric,41.978914,-122.335317,CA,294
13.5,Hydroelectric,41.975716,-122.358127,CA,295
13.5,Hydroelectric,41.975716,-122.358127,CA,295
0.5,Hydroelectric,41.985605,-122.360455,CA,296
0.4,Hydroelectric,41.985605,-122.360455,CA,296
1.2,Hydroelectric,41.985605,-122.360455,CA,296
18,Hydroelectric,41.932981,-122.43678,CA,297
893,Coal,31.4219,-96.2525,TX,298
956.8,Coal,31.4219,-96.2525,TX,298
30.7,Other,38.4889,-112.8533,UT,299
14.1,Other,38.4889,-112.8533,UT,299
9.3,Hydroelectric,56.986284,-135.12275,AK,313
